Serial Number,Rating kVA,Manufacturer,Year,Status,Site Name,Latitude,Longitude,Region,Data Source,Position Basis
OSM-0013,200,Unspecified,2020,IN_FIELD,Total,-1.299975,36.788666,Nairobi — Kilimani,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0014,200,Unspecified,2020,IN_FIELD,Upper Hill distribution point,-1.290519,36.800885,Nairobi — Upper Hill,OSM power=pole,Surveyed asset position
OSM-0015,200,Unspecified,2020,IN_FIELD,South B distribution point,-1.306156,36.835574,Nairobi — South B,OSM power=pole,Surveyed asset position
OSM-0016,200,Unspecified,2020,IN_FIELD,OLA Energy Westlands,-1.263832,36.803068,Nairobi — Westlands,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0017,200,Unspecified,2020,IN_FIELD,Oilibya Parklands,-1.263904,36.824535,Nairobi — Parklands,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0018,200,Unspecified,2020,IN_FIELD,Jonathan Gloag Academy,-1.314269,36.812998,Nairobi — South C,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0019,200,Unspecified,2020,IN_FIELD,TotalEnergies Adams Arcade,-1.300409,36.780769,Nairobi — Kilimani,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0020,500,Unspecified,2020,IN_FIELD,University of Nairobi Substation,-1.280700,36.808770,Nairobi — Upper Hill,OSM power=substation,Surveyed asset position
OSM-0021,500,Unspecified,2020,IN_FIELD,Kenya Power & Lighting Company Sub Station,-1.310475,36.828402,Nairobi — South B,OSM power=substation,Surveyed asset position
OSM-0022,200,Unspecified,2020,IN_FIELD,Oshwal,-1.260380,36.809215,Nairobi — Westlands,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0023,200,Unspecified,2020,IN_FIELD,Total Muthaiga Station,-1.250063,36.820558,Nairobi — Parklands,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0024,315,Unspecified,2020,IN_FIELD,Wilson Airport Police Station,-1.317418,36.815421,Nairobi — South C,OSM amenity=police,"Site centroid, transformer inferred"
OSM-0025,315,Unspecified,2020,IN_FIELD,Kilimani Divisional Police Station,-1.291795,36.795069,Nairobi — Kilimani,OSM amenity=police,"Site centroid, transformer inferred"
OSM-0026,500,Unspecified,2020,IN_FIELD,Upper Hill distribution point,-1.298889,36.801689,Nairobi — Upper Hill,OSM power=substation,Surveyed asset position
OSM-0027,500,Unspecified,2020,IN_FIELD,South B distribution point,-1.313682,36.851189,Nairobi — South B,OSM power=substation,Surveyed asset position
OSM-0028,200,Unspecified,2020,IN_FIELD,Total Spring Valley,-1.254075,36.792156,Nairobi — Westlands,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0029,200,Unspecified,2020,IN_FIELD,City Primary School,-1.272959,36.825054,Nairobi — Parklands,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0030,200,Unspecified,2020,IN_FIELD,Moi Educational Center,-1.313551,36.819020,Nairobi — South C,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0031,500,Unspecified,2020,IN_FIELD,Adam's Arcade Market,-1.302625,36.779800,Nairobi — Kilimani,OSM amenity=marketplace,"Site centroid, transformer inferred"
OSM-0032,500,Unspecified,2020,IN_FIELD,Upper Hill distribution point,-1.280714,36.808790,Nairobi — Upper Hill,OSM power=substation,Surveyed asset position
OSM-0033,200,Unspecified,2020,IN_FIELD,National Oil,-1.307793,36.822631,Nairobi — South B,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0034,1000,Unspecified,2020,IN_FIELD,Student's Clinic,-1.278273,36.810724,Nairobi — Westlands,OSM amenity=hospital,"Site centroid, transformer inferred"
OSM-0035,200,Unspecified,2020,IN_FIELD,Total Limuru Road,-1.259387,36.826477,Nairobi — Parklands,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0036,200,Unspecified,2020,IN_FIELD,Langata Road Primary School,-1.316768,36.812420,Nairobi — South C,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0037,1000,Unspecified,2020,IN_FIELD,Upendo Vision Clinic,-1.307868,36.786050,Nairobi — Kilimani,OSM amenity=hospital,"Site centroid, transformer inferred"
OSM-0038,315,Unspecified,2020,IN_FIELD,Nairobi Area Traffic HQ,-1.297156,36.808254,Nairobi — Upper Hill,OSM amenity=police,"Site centroid, transformer inferred"
OSM-0039,200,Unspecified,2020,IN_FIELD,OLA Energy Bellevue,-1.319540,36.837164,Nairobi — South B,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0040,1000,Unspecified,2020,IN_FIELD,Department of Microbilogy and Biotechnology,-1.274099,36.804970,Nairobi — Westlands,OSM amenity=university,"Site centroid, transformer inferred"
OSM-0041,315,Unspecified,2020,IN_FIELD,Absa,-1.278945,36.816382,Nairobi — Parklands,OSM amenity=bank,"Site centroid, transformer inferred"
OSM-0042,315,Unspecified,2020,IN_FIELD,Administration Camp,-1.325929,36.832523,Nairobi — South C,OSM amenity=police,"Site centroid, transformer inferred"
OSM-0043,200,Unspecified,2020,IN_FIELD,Calvary Educational Centre,-1.308403,36.789500,Nairobi — Kilimani,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0044,200,Unspecified,2020,IN_FIELD,Rubis Hurlingham,-1.294978,36.799972,Nairobi — Upper Hill,OSM amenity=fuel,"Site centroid, transformer inferred"
OSM-0045,200,Unspecified,2020,IN_FIELD,Kinderworld International School,-1.313792,36.823551,Nairobi — South B,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0046,315,Unspecified,2020,IN_FIELD,Bank of Baroda,-1.257479,36.804119,Nairobi — Westlands,OSM amenity=bank,"Site centroid, transformer inferred"
OSM-0047,315,Unspecified,2020,IN_FIELD,Imperial Bank,-1.257413,36.827159,Nairobi — Parklands,OSM amenity=bank,"Site centroid, transformer inferred"
OSM-0048,500,Unspecified,2020,IN_FIELD,Kenya Red Cross Training College,-1.323958,36.833732,Nairobi — South C,OSM amenity=college,"Site centroid, transformer inferred"
OSM-0049,1000,Unspecified,2020,IN_FIELD,New Makina Clinic,-1.307198,36.786329,Nairobi — Kilimani,OSM amenity=hospital,"Site centroid, transformer inferred"
OSM-0050,200,Unspecified,2020,IN_FIELD,Rubis,-1.292994,36.820980,Nairobi — Upper Hill,OSM amenity=fuel,"Site centroid, transformer inferred"
